datetime,C_B1,C_B2,C_B3,C_B4,C_B5,L_B1,L_B2,L_B3,L_B4,L_B5,W_B1,W_B2,W_B3,W_B4,W_B5,LW_B1,LW_B2,LW_B3,LW_B4,LW_B5
1/1/2006 0:00,0.196935,0.110081,0.290197,0.240303,0.0773988,0.144001,0.134377,0.270115,0.252224,0.287959,0.227679,0.195331,,0.239421,0.195746,0.191898,0.0822539,0.224857,0.0892438,0.204334
1/1/2006 1:00,0.129489,0.20598,0.242519,0.161155,0.142756,0.111416,0.159947,0.217691,0.152411,0.231384,0.165581,0.114128,,0.157555,0.158488,0.140103,0.22686,0.165406,0.239325,0.236124
1/1/2006 2:00,0.0637706,0.145522,0.0121562,0.0476977,0.104566,0.00583695,0.131275,0.0616135,0.113872,0.165373,0.0628242,0.0850079,,0.10023,0.0722081,0.0686142,0.15659,0.0983898,0.148568,0.183825
1/1/2006 3:00,0.165488,0.138211,0.203092,0.167611,0.0857311,0.122734,0.136968,0.207383,0.200097,0.167619,0.166301,0.131598,,0.178239,0.108339,0.173463,0.143472,0.150044,0.14962,0.207405
1/1/2006 4:00,0.163877,0.161054,0.214501,0.182253,0.093489,0.120233,0.143935,0.213223,0.193349,0.198564,0.162509,0.141664,,0.180114,0.126943,0.179704,0.18753,0.181375,0.193373,0.211846
1/1/2006 5:00,0.129548,0.158992,0.181797,0.152001,0.0987048,0.100379,0.14862,0.189714,0.15766,0.193008,0.140329,,,0.145592,0.134877,0.145619,0.183106,0.178607,0.192462,0.204659
1/1/2006 6:00,0.100698,0.114978,0.150974,0.128467,0.0713551,0.0737048,0.118065,0.152639,0.121935,0.147685,0.100983,0.0861922,,0.13577,0.103103,0.111545,,0.133107,0.144032,0.161199
1/1/2006 7:00,,0.0913782,0.142316,0.127206,0.0668864,0.0704351,0.0947134,0.156273,0.109354,0.14039,,0.0754742,,0.117097,0.0968733,,0.125419,0.116798,0.139518,0.136454
1/1/2006 8:00,-0.000217647,0.0574915,0.0257068,0.00794251,0.0382857,0.0253691,0.0529092,0.0641658,0.00361286,0.066286,0.0156638,-0.03994,,0.0103495,0.0275542,0.0254504,0.0930211,0.0563282,0.108053,0.0894179
1/1/2006 9:00,-0.121042,-0.015617,-0.221714,-0.15923,-0.0131303,-0.0595606,-0.00647655,-0.110207,-0.163512,-0.00745274,-0.0930763,-0.143674,,-0.0842232,-0.0319928,-0.0964922,0.0124274,0.00927122,-0.0198251,-0.0186349
1/1/2006 10:00,-0.069735,-0.0481521,-0.179735,-0.0718879,-0.0186342,-0.00091847,-0.0196178,-0.0028507,0.00132323,-0.117499,-0.0290021,-0.0828765,,-0.00433131,-0.128049,-0.0215506,-0.0788756,-0.0620162,-0.109225,-0.0183744
