datetime,AirTemp,RH,RAD_B,RAD_C,PAR_A,BP,Rad_CTL_C,Rad_CTL_B,Rain_mm,WindSpd,WindDir,SD WindDir,MaxWindSpd
2012-03-01 00:00:00,8.14,31.69,144.6,31.82,0,860.24,-43.01,-34.02,0,4.513,183.2,28.57,8.57
2012-03-01 01:00:00,7.81,33.8,165.4,44.15,0,860.52,-32.89,-25.91,0,4.161,207.3,34.55,8.17
2012-03-01 02:00:00,7.39,35.76,163,37.74,0,860.38,-47.88,-38.53,0,3.765,179.5,29.49,6.675
2012-03-01 03:00:00,7.25,36.15,146.9,36.22,0,859.87,-35.03,-27.44,0,4.865,167.5,20.76,7.11
2012-03-01 04:00:00,6.939,36.96,149.6,31.21,0,859.36,-42.03,-33.72,0,4.617,172,19.74,9.17
2012-03-01 05:00:00,6.628,37.39,135.9,23.13,0,858.92,-52.81,-43.16,0,4.69,174.7,18.87,6.7
2012-03-01 06:00:00,6.352,37.77,118.8,5.212,0,858.57,-71.8,-57.51,0,5.043,176.2,19.15,8.85
2012-03-01 07:00:00,5.946,39.63,172.8,49.66,1.636,858.66,-30.28,-24.22,0,3.38,186.7,52.55,6.887
2012-03-01 08:00:00,3.062,60.61,191.1,77.2,56.09,860.13,1.823,1.701,0,2.745,284,35.64,4.8
2012-03-01 09:00:00,1.182,80.8,200.5,67.88,71.7,861.16,-8.23,-8.06,0,2.003,223.9,62.42,4.075
2012-03-01 10:00:00,-0.275,92.6,81.1,7.27,76.4,861.6,-17.26,-18.82,0,1.738,78.2,70.3,3.575
2012-03-01 11:00:00,-0.642,95.3,32.4,-88.3,133.5,861.89,-89.5,-97.7,0,1.003,15.12,47.45,2.175
2012-03-01 12:00:00,0.093,90.6,325.6,57.03,221.6,861.95,-227.1,-264.4,0.1,1.119,225.3,55.83,4.262
2012-03-01 13:00:00,1.698,80.2,552.4,303.8,822,860.96,-3.488,23.96,5.8,1.063,13.85,61.91,2.612
2012-03-01 14:00:00,4.349,62.68,809,596.4,1631,860.09,317.5,217,0.1,0.617,347.5,86,1.825
2012-03-01 15:00:00,2.247,68.31,424.9,303.1,766,860.05,153.9,145.5,0.1,2.904,194.9,33.25,5.2
2012-03-01 16:00:00,3.167,63.03,434.2,317.6,830,859.53,213.3,223.6,0,5.17,178.8,20.37,7.31
2012-03-01 17:00:00,3.824,56.15,332.2,200,481,859.57,117,117.8,0,3.187,208,58.98,7.12
2012-03-01 18:00:00,3.751,52.19,211.6,72,109.2,860.19,-18.72,-16.62,0,2.77,187.7,27.45,6.562
2012-03-01 19:00:00,3.748,37.72,188.1,38.98,4.25,860.91,-61.03,-52.17,0,2.094,191.9,58.42,3.437
2012-03-01 20:00:00,3.282,30.07,239.9,68.88,0,860.61,-44.26,-39.87,0,0.921,33.67,73.7,2.05
2012-03-01 21:00:00,1.621,46.1,210.2,61.4,0,860.28,-49,-43.94,0,2.023,177.1,20.24,3.087
2012-03-01 22:00:00,1.102,49.44,237.1,76.4,0,860.1,-35.11,-31.35,0,1.674,172.2,33.53,3.212
2012-03-01 23:00:00,2.6,37.18,200.7,63.49,0,860.09,-28.9,-23.44,0,2.839,194.1,31.05,5.325
2012-03-02 00:00:00,1.584,52.33,194.5,65.3,0,860.24,-19.63,-16.33,0,3.586,189.3,24.69,7.9
2012-03-02 01:00:00,0.058,70.9,225.1,77.8,0,860.43,-14.27,-12.49,0,2.604,180.5,19.92,5.3
2012-03-02 02:00:00,-1.005,84.7,258.6,92.4,0,860.41,-19.21,-17.17,0,0.99,288.9,33.79,1.937
2012-03-02 03:00:00,-1.229,88.8,260.8,91.1,0,860.34,-16.58,-17.4,0,0.793,214.3,20.68,1.912
2012-03-02 04:00:00,-1.319,88.7,254.7,80.5,0,860.3,-16.41,-17.48,0,1.233,195.6,23.17,2
2012-03-02 05:00:00,-1.496,91.1,226.6,71.5,0,860.87,-15.04,-15.94,0,1.428,186.3,43.19,1.875
2012-03-02 06:00:00,-0.99,83.8,244.2,59.83,0,861.73,-26.5,-27.62,0,1.034,17.34,93.7,1.975
2012-03-02 07:00:00,-0.824,79.3,260.8,64.27,1.469,862.92,-32.11,-32.19,0,0.963,330.7,76.9,2.512
2012-03-02 08:00:00,-0.584,75.1,312.2,116.7,49.66,864.28,-30.03,-28.3,0,0.366,90.8,85.2,1.075
2012-03-02 09:00:00,0.043,67.99,305.1,145.9,204.1,865.99,-41.69,-21.75,0.1,1.127,31.69,20.28,3.225
2012-03-02 10:00:00,0.695,56.38,361.7,210.1,417.9,867.4,52.55,79.2,0,1.159,28.84,45.4,2.15
2012-03-02 11:00:00,1.486,46.94,425.8,301.8,759,868.47,202.1,223.1,0,2.191,29.3,32.22,3.6
2012-03-02 12:00:00,2.663,41.4,602.7,455.6,1118,869.08,371.5,365,0,1.414,41.85,56.02,2.6
2012-03-02 13:00:00,1.441,55.73,378,227.6,564.4,869.48,157.8,137.6,0,1.771,139.2,85.5,4.15
2012-03-02 14:00:00,0.321,63.71,327.4,191.2,415.1,869.58,109.6,93.5,0,2.656,170.7,58.13,5.912
2012-03-02 15:00:00,2.784,53.5,606.2,451.3,1146,869.55,394.4,362.8,0,1.883,181.5,51.57,4.375
2012-03-02 16:00:00,4.161,38.8,472.1,341.5,879,869.58,289.3,252.8,0,2.417,212.7,23.82,4.437
2012-03-02 17:00:00,5.465,27.18,432.1,271.6,656.5,869.56,191.9,171.4,0,1.082,230.2,75.8,2.137
2012-03-02 18:00:00,4.208,24.52,191.7,74.6,206.5,869.88,-1.337,-1.404,0,2.853,287.9,62.32,4.612
2012-03-02 19:00:00,2.119,24.37,146.6,10.26,5.577,870.53,-78.6,-72.8,0,2.178,330.9,32.26,3.7
2012-03-02 20:00:00,1.082,27.35,180.2,29.56,0,871.06,-80.4,-74.6,0,1.422,316.4,56.34,3.05
2012-03-02 21:00:00,0.121,31.42,195.9,33.19,0,871.88,-80,-73.4,0,1.313,257.4,101.6,3.462
2012-03-02 22:00:00,-0.327,31.87,170.2,24.31,0,872.81,-81.1,-71.9,0,1.973,182.9,87.8,4.362
2012-03-02 23:00:00,-0.796,32.89,161.6,21.54,0,873.39,-83.7,-71.2,0,2.297,174.6,30.32,3.725
2012-03-03 00:00:00,-1.039,33.39,156.5,17.45,0,873.66,-83.4,-69.42,0,2.607,180.9,22.95,4.012
2012-03-03 01:00:00,-1.406,35.33,160.1,19.8,0,873.6,-83.4,-68.82,0,2.563,176.6,20.23,4.275
2012-03-03 02:00:00,-1.792,38.06,186.8,33.67,0,874.01,-77.6,-65.54,0,1.887,190.2,19.83,2.962
2012-03-03 03:00:00,-2.468,42.59,218.2,49.62,0,874.2,-72.3,-63.53,0,1.335,179.5,20.83,2.237
2012-03-03 04:00:00,-3.214,47.04,198.9,42.41,0,874.61,-72.6,-63.01,0,1.655,174.3,16.71,2.65
2012-03-03 05:00:00,-4.295,51.84,181.2,33.89,0,874.76,-71.5,-61.44,0,1.949,168.2,22.7,3.287
2012-03-03 06:00:00,-4.21,49.62,215.4,48.45,0,875.1,-67.65,-59.69,0,1.27,136.4,30.35,2.8
2012-03-03 07:00:00,-5.317,55.55,178.9,33.33,3.163,875.65,-68.28,-58.71,0,1.976,154.8,13.24,3.087
2012-03-03 08:00:00,-5.502,58.28,229.4,64.66,61.4,876.43,-50.96,-43.42,0,1.259,151.4,15.58,2.725
2012-03-03 09:00:00,-4.439,54.45,280.8,95.8,111.2,877.2,-36.61,-29.78,0,0.643,163,16.93,1.587
2012-03-03 10:00:00,-1.062,43.67,519.5,320,708,877.58,201.8,209.5,0,0.28,87,62.08,0.875
2012-03-03 11:00:00,1.894,34.6,671.7,499,1230,877.81,430.5,422.7,0,0.796,17.86,54.96,1.525
2012-03-03 12:00:00,3.558,33.65,722,558.2,1417,877.81,515.1,488.2,0,1.147,142.3,78,2.462
2012-03-03 13:00:00,4.698,31.75,636.9,503,1514,877.5,510.9,423.7,0,1.45,195.8,39.97,3.3
2012-03-03 14:00:00,5.499,30.44,696,538.4,1456,876.92,513.3,471.6,0,1.71,147,73.5,4.187
2012-03-03 15:00:00,6.957,28.51,578.9,429.6,1238,876.54,397.9,353.6,0,1.541,220.2,57.99,2.925
2012-03-03 16:00:00,7.54,27.76,482.1,338.3,988,876.12,302.3,258.4,0,1.826,182.7,51.19,3.325
2012-03-03 17:00:00,8.09,26.48,375.6,221,651.5,875.98,158,129.2,0,1.568,195.8,52.77,3.125
2012-03-03 18:00:00,6.953,31.47,240.7,86.7,185,875.72,-16.11,-21.14,0,1.387,202,22.4,2.512
2012-03-03 19:00:00,4.24,42.45,202.4,44.96,6.344,875.64,-68.96,-62.98,0,1.314,173.3,22.99,2.537
2012-03-03 20:00:00,2.98,49.8,205.1,42.78,0,875.75,-67.15,-61.29,0,1.278,155.6,15.61,1.887
2012-03-03 21:00:00,2.312,52.57,199.6,41.63,0,875.96,-64.52,-57.04,0,1.447,155.2,14.66,2.475
2012-03-03 22:00:00,1.408,56.87,195.4,39.91,0,876.42,-63.96,-56.43,0,1.405,121.1,68.84,3.187
2012-03-03 23:00:00,1.076,57.16,241.9,66.24,0,876.96,-60.97,-55.92,0,0.757,140.3,34.56,1.55
2012-03-04 00:00:00,0.777,55.67,236.8,63.88,0,877.11,-59.55,-54.29,0,0.697,122.6,54.23,1.575
